Pattern,Replacement,Priority,Category,Sub_Category,RFM_Exclusion,Genenral_Reward_Exclusion,備註,欄位定義解說
點數折抵.*,小樹點折抵,100,銀行費用,,TRUE,TRUE,國泰信用卡消費明細用，主要處理國泰的銀行帳單費用整理。,Pattern：關鍵字或正則表達式
國外交易手續費.*,國外交易手續費,100,銀行費用,,TRUE,TRUE,銀行費用,Replacement：(取代後名稱)
國外交易服務費.*,國外交易服務費,100,銀行費用,,TRUE,TRUE,銀行費用,Order：處理順序
(?i).*使用e point.*,玉山點折抵,100,銀行費用,,TRUE,TRUE,玉山信用卡消費明細用,備註：解釋說明這個正則表達的處理情境
自動加值－ 全家便利商店.*,悠遊卡自動加值,90,生活服務,自動加值,FALSE,TRUE,華南信用卡消費明細用,
.*悠遊卡自動加值金額.*,悠遊卡自動加值,90,生活服務,自動加值,FALSE,TRUE,玉山信用卡消費明細用,
.*(愛金卡加值).*,愛金卡加值,90,生活服務,自動加值,FALSE,TRUE,,
(?i).*youtube.*premium.*,Youtube_Premium,90,電子商務,訂閱費,FALSE,FALSE,Google Youtube_Premium服務，如果有新增youtube消費的話補上這個((?i).*youtube.*),
(?i).*(Niantic|Xsolla.*Pokemon|Pokemon.*GO).*,Pokemon GO,90,電子商務,文創娛樂,FALSE,FALSE,分離PokemonGo,
(?i).*GOOGLE.*Pokemon.*,Pokemon服務,80,電子商務,文創娛樂,FALSE,FALSE,,
.*全家便利商店.*,全家便利商店,70,便利商店,,FALSE,TRUE,.* 代表後面接任何字都算,
(?i).*統一超商.*ＯＰ.*,OP錢包－統一超商,70,便利商店,,FALSE,TRUE,名稱統一,
(?i).*(foodomo|FDM|專聯|ｆｏｏｄｏｍ|統一超商＿ＦＤＭ).*,專聯科技,70,便利商店,,FALSE,TRUE,統一集團外送服務,
(?i).*(隨時取|行動隨時取).*,統一超商_隨時取,70,便利商店,預付兌換,FALSE,TRUE,統一集團通路，統一超商_先買後兌換的服務,
(?i).*統一超商.*會員.*,統一超商_訂閱制,70,便利商店,訂閱費,FALSE,FALSE,統一集團通路，統一超商_會員訂閱,
(?i).*(雲端開).*,統一超商_雲端開心卡,70,便利商店,預付兌換,FALSE,FALSE,統一集團通路，統一超商_特殊儲值服務,
(?i).*Nintendo.*,Nintendo,70,電子商務,文創娛樂,FALSE,FALSE,任天堂eshop刷卡,
(?i).*(星巴克|Starbucks).*(儲值|隨行卡|線上|Auto Reload).*,星巴克_儲值,70,連鎖飲食,預付兌換,FALSE,FALSE,統一集團通路，主打咖啡店，優先處理儲值服務,
(?i).*(ＬＩＮＥ禮物).*,Line禮物,60,電子商務,預付兌換,FALSE,FALSE,,
(?i).*(拿坡里炸雞|三商炸雞).*,三商炸雞,60,連鎖飲食,烘焙點心,FALSE,,三商餐飲集團通路，主打炸雞,
(?i).*(家樂福|Carrefour).*(線上|Online|EC|網購|Web).*,家樂福線上/外送,60,百貨量販,,FALSE,,(注意改名)統一集團通路，主打量販超市的外送/網購附加服務,
(?i).*(聖娜|ＳＥＭＥＵＲ|SEMEUR).*,聖娜多堡,60,連鎖飲食,烘焙點心,FALSE,,統一集團通路，主打烘焙,
.*康是美.*,康是美,60,百貨量販,生活美妝,FALSE,,統一集團通路，主打藥妝,
.*安源資訊.*,ibon售票,60,電子商務,文創娛樂,FALSE,,統一集團通路，主打售票服務,
(?i).*(星巴克|Starbucks).*,星巴克,60,連鎖飲食,烘焙點心,FALSE,,統一集團通路，主打咖啡店,
(?i).*(家樂福|Carrefour).*(自助|Self|DIY).*,家樂福自助結帳,55,百貨量販,,FALSE,,(注意改名)統一集團通路，主打量販超市的自助結帳功能，來加速結帳流程,
(?i).*(統一超商股份).*,統一超商股份有限公司,50,便利商店,預付兌換,FALSE,TRUE,統一集團通路，統一超商_服務統整,
.*(真芳|真芳碳烤吐司).*,真芳碳烤吐司,50,連鎖飲食,快速主餐,FALSE,,連鎖餐飲,
.*麥當勞.*,麥當勞,50,連鎖飲食,快速主餐,FALSE,TRUE,連鎖餐飲,
.*威秀影城.*,威秀影城,50,生活服務,文創娛樂,FALSE,,電影院,
(?i).*(CoCo|ＣｏＣｏ|都可).*,ＣｏＣｏ都可,50,連鎖飲食,手搖飲,FALSE,,手搖飲,
.*清心福全.*,清心福全,50,連鎖飲食,手搖飲,FALSE,,手搖飲,
.*(可不可熟成紅茶).*,可不可熟成紅茶,50,連鎖飲食,手搖飲,FALSE,,如果有遇到英文名的話換成(?i).*(可不可|KEBUKE).*,
.*八方雲集.*,八方雲集,50,連鎖飲食,快速主餐,FALSE,,八方雲集餐飲集團通路,
.*(ＫＦＣ|肯德基).*,肯德基,50,連鎖飲食,快速主餐,FALSE,TRUE,連鎖餐飲,
(?i).*(Ｓｕｂｗａｙ).*,SUBWAY,50,連鎖飲食,快速主餐,FALSE,TRUE,連鎖餐飲,
(?i).*(ＳＵＫＩＹＡ).*,SUKIYA,50,連鎖飲食,快速主餐,FALSE,TRUE,連鎖餐飲,
(?i).*(摩斯漢堡|ＭＯＳ|MOS).*,摩斯漢堡,50,連鎖飲食,快速主餐,FALSE,FALSE,連鎖餐飲,
.*一之軒.*,一之軒,50,連鎖飲食,烘焙點心,FALSE,,烘焙店,
.*博客來.*,博客來,50,電子商務,教育學習,FALSE,,統一集團電商，主打書本,
.*來來超商.*,來來超商,50,便利商店,,FALSE,TRUE,超商,
(?i).*(Ｑ.*Ｂｕｒｇｅｒ|Q.*berger).*,Qburger,50,連鎖飲食,早午餐,FALSE,,連鎖早餐店,
.*購好券.*,購好券,50,電子商務,預付兌換,FALSE,,LINE_PAY的票券服務,
(?i).*ＣＲＥＭＩＡ北海道冰淇淋之神.*,CREMIA北海道冰淇淋之神,50,連鎖飲食,烘焙點心,FALSE,,點心店,
.*七盞茶.*,七盞茶,50,連鎖飲食,手搖飲,FALSE,,手搖飲,
.*(臺灣鐵路公司附業營|臺灣鐵路股份有限公司附業營運處).*,臺鐵便當,50,連鎖飲食,快速主餐,FALSE,,如果有遇到刷卡搭台鐵的狀況，要改成(?i).*(附業營|台鐵便當|臺鐵便當|TR Bento).*,
(?i).*(宜家家居|ＩＫＥＡ).*,IKEA,50,百貨量販,家居設計,FALSE,,量販通路,
.*漢堡王.*,漢堡王,50,連鎖飲食,快速主餐,FALSE,,連鎖餐飲,
.*包子商行.*,包子商行,50,連鎖飲食,快速主餐,FALSE,,連鎖餐飲,
.*(ＤＯＮ.*ＤＯＮ).*,DONKI唐吉軻德,50,百貨量販,,FALSE,,生活量販通路,
.*鬍鬚張.*,鬍鬚張,50,連鎖飲食,快速主餐,FALSE,,連鎖餐飲,
.*繼光香香雞.*,繼光香香雞,50,連鎖飲食,烘焙點心,FALSE,,連鎖餐飲,
(?i).*ＮＥＴ.*,NET,50,百貨量販,服飾,FALSE,,服飾量販通路,
(?i).*(２ｎｄ　ＳＴＲＥ).*,2ndStreet,50,百貨量販,服飾,FALSE,,服飾量販通路，主打二手衣交流,
(?i).*(８５度Ｃ).*,85度C,50,連鎖飲食,烘焙點心,FALSE,,連鎖餐飲通路,
.*５０嵐.*,50嵐,50,連鎖飲食,手搖飲,FALSE,,手搖飲,
(?i).*(拿坡里|Napoli|三商炸雞).*,拿坡里,50,連鎖飲食,快速主餐,FALSE,,三商餐飲集團通路，主打披薩,
(?i).*(福勝亭|鮮五丼|品川蘭|BANCO).*,三商其他餐飲品牌,50,連鎖飲食,快速主餐,FALSE,,三商餐飲集團通路，還沒吃過的暫時放這邊。,
(?i).*(三商美邦).*,三商美邦人壽,50,保險費用,壽險,TRUE,,保險業者，目前沒有保單。,
.*全聯.*,全聯,50,百貨量販,,FALSE,,生活量販通路,
.*墊腳石.*,墊腳石,50,百貨量販,文具書本,FALSE,,生活量販通路,
.*特力集團.*,特力集團,50,百貨量販,家居設計,FALSE,,生活量販通路,
.*梁社漢排骨.*,梁社漢排骨,50,連鎖飲食,快速主餐,FALSE,,八方雲集餐飲集團通路,
.*統一多拿滋.*,統一多拿滋,50,連鎖飲食,烘焙點心,FALSE,,統一集團通路，主打甜甜圈系列點心,
(?i).*(家樂福|Carrefour).*(便利購|超市|Market).*,家樂福超市/便利購,50,百貨量販,,FALSE,,(注意改名)統一集團通路，主打量販超市的小型超市店種類,
(?i).*(Ａｃｃｕｐａｓｓ|ACCUPASS).*,Accupass,50,電子商務,文創娛樂,FALSE,,售票服務,
.*呷尚寶.*,呷尚寶,50,連鎖飲食,早午餐,FALSE,,早餐店,
.*頂呱呱.*,頂呱呱,50,連鎖飲食,快速主餐,FALSE,,連鎖餐飲通路,
(?i).*(BOOK.*WALKER|ＢＯＯＫ.*ＷＡＬ|漫讀).*,BOOKWALKER,50,電子商務,文創娛樂,FALSE,,,
.*麥味登.*,麥味登,50,連鎖飲食,早午餐,FALSE,,連鎖餐飲通路，主打早午餐,
.*萬波島嶼紅茶.*,萬波島嶼紅茶,50,連鎖飲食,手搖飲,FALSE,,手搖飲,
.*欣亞數位.*,欣亞數位,50,百貨量販,3C耗材,FALSE,,3C量販通路,
.*樂田麵包屋.*,樂田麵包屋,50,連鎖飲食,烘焙點心,FALSE,,連鎖飲食,
.*燦坤.*,燦坤,50,百貨量販,3C耗材,FALSE,,3C量販通路,
.*吉野家.*,吉野家,50,連鎖飲食,快速主餐,FALSE,,連鎖餐飲通路,
.*(彼得好咖啡).*,彼得好咖啡,50,連鎖飲食,早午餐,FALSE,,連鎖餐飲通路,
.*珠寶盒法式點心坊.*,珠寶盒法式點心坊,50,連鎖飲食,烘焙點心,FALSE,,烘焙點心,
.*五桐號.*,五桐號,50,連鎖飲食,手搖飲,FALSE,,手搖飲,
.*德國農莊茶烘焙館.*,德國農莊茶烘焙館,50,連鎖飲食,烘焙點心,FALSE,,烘焙點心,
(?i).*(ＱＢ.*ＨＯＵＳＥ).*,QBHOUSE,50,生活服務,生活美妝,FALSE,,理髮服務,
(?i).*(ＲＥＡＬ|REAL\s|REAL$|真.*烘焙).*,REAL真烘焙坊,50,連鎖飲食,烘焙點心,FALSE,,烘焙點心,
.*學思行數位行銷.*,讀冊生活,50,電子商務,文創娛樂,FALSE,,,
.*開翔國際展覽.*,開翔國際展覽,50,電子商務,文創娛樂,FALSE,,展覽/售票服務,
.*(KKTIX|ＫＫＴＩＸ).*,KKTIX,50,電子商務,文創娛樂,FALSE,,展覽/售票服務,
.*普雷伊.*,普雷伊,50,百貨量販,文創娛樂,FALSE,,娛樂遊戲機通路,
.*樂法.*,樂法,50,連鎖飲食,手搖飲,FALSE,,手搖飲,
(?i).*(季緣|CHI.*YUAN|ＣＨＩ.*ＹＵＡＮ).*,季緣,50,連鎖飲食,手搖飲,FALSE,,手搖飲,
(?i).*(宜睿|Edenred|Ticket.*Xpress).*,即享券服務,50,電子商務,預付兌換,FALSE,,電子票券,
(?i).*(東森得易購|Ｋ區東森).*,Ｋ區東森廣場,40,百貨量販,,FALSE,,實體百貨通路名字統一，目前無東森網購習慣，故全數歸為實體廣場。若未來開始用 ETMall，需拆分此規則。,
.*三創生活園區.*,三創生活園區,40,百貨量販,,FALSE,,實體百貨通路名字統一,
.*京站時尚廣場.*,京站時尚廣場,40,百貨量販,,FALSE,,實體百貨通路名字統一,
(?i).*(誠品生活|誠品百貨|Spectrum).*,誠品生活,40,百貨量販,,FALSE,,實體百貨通路名字統一,
(?i).*(三商巧福|三商|巧福|三商餐飲).*,三商巧福,40,連鎖飲食,快速主餐,FALSE,,三商餐飲集團通路，主打牛肉麵，三商餐飲的第一個品牌,
(?i).*(ＳＯＧＯ|SOGO).*,SOGO百貨,40,百貨量販,,FALSE,,實體百貨通路名字統一,
(?i).*(遠東百貨|遠百|大遠百|Far.*Eastern|Garden.*City|Ｇａｒｄｅｎ).*,遠東百貨,40,百貨量販,,FALSE,,實體百貨通路名字統一,
(?i).*(微風|BREEZE|ＢＲＥＥＺＥ).*,微風廣場,40,百貨量販,,FALSE,,實體百貨通路名字統一,
(?i).*(DREAM.*P|ＤＲＥＡＭ.*Ｐ).*,DREAM_PLAZA,55,百貨量販,,FALSE,,統一集團通路，實體百貨通路名字統一，統一時代百貨台北店分館。,
.*(統一時代).*,統一時代百貨台北店,40,百貨量販,,FALSE,,統一集團通路，實體百貨通路名字統一，如果有DREAMPLAZA消費沒抓到的話用這個合併。,
(?i).*(家樂福|Carrefour).*,家樂福,40,百貨量販,,FALSE,,(注意改名)統一集團通路，主打量販超市，其餘沒提到的放在這邊。,
(?i).*(Ｈａｈｏｗ).*,HAHOW,30,電子商務,文創娛樂,FALSE,,線上課程平台,
(?i).*(ＰｒｅｓｓＰｌａ).*,PressPlay,30,電子商務,文創娛樂,FALSE,,線上課程平台,
(?i).*(義美|I.*MEI|Ｉ.*ＭＥＩ).*,義美食品,30,連鎖飲食,烘焙點心,FALSE,,連鎖餐飲自有通路,
^(?!.*_).*統一超商.*,統一超商,30,便利商店,,FALSE,TRUE,統一集團通路，統一超商的所有實體門市,
.*(新光三越|新光三越百貨).*,新光三越百貨,20,百貨量販,,FALSE,,,
(?i).*(網購).*(９１ＡＰＰ|91APP).*,91APP,20,電子商務,,FALSE,,網購入口名字統一,
(?i).*(誠品|誠品書店|Eslite).*,誠品書店,20,百貨量販,文創娛樂,FALSE,,買書,
(?i).*(優衣庫|UNIQLO|ＵＮＩＱＬＯ).*,UNIQLO,20,百貨量販,服飾,FALSE,,服飾量販通路,
(?i).*(GU).*,GU,20,百貨量販,服飾,FALSE,,服飾量販通路,
(?i).*(Microsoft|Ｍｉｃｒｏｓｏｆｔ).*,Microsoft,50,電子商務,訂閱費,FALSE,,微軟服務,
(?i).*(lalaport|ｌａｌａｐｏｒｔ).*,Lalaport,40,百貨量販,,FALSE,,實體百貨通路名字統一,
.*(STEAM.*PURCHASE).*,STEAM,50,電子商務,文創娛樂,FALSE,,最大遊戲電商平台,
(?i).*(APPLE.COM/BILL).*,APPLE.COM/BILL,50,電子商務,訂閱費,FALSE,,APPLE公司的服務平台,
(?i).*(Google.*One).*,Google One,50,電子商務,訂閱費,FALSE,,Google 空間訂閱服務,
(?i).*(牧牧|Moomoo).*,牧牧,50,連鎖飲食,手搖飲,FALSE,,,
(?i).*(良本崎).*,良本崎,50,連鎖飲食,烘焙點心,FALSE,,,
(?i).*(TWQR|ＴＷＱＲ).*,ＴＷＱＲ跨機構購物交易,10,電子商務,,FALSE,,TWQR交易，電子支付平台之間的交易行為,
(?i).*(小木屋鬆餅).*,小木屋鬆餅,50,連鎖飲食,烘焙點心,FALSE,,小木屋鬆餅,
(?i).*(LOUISA|ＬＯＵＩＳＡ|路易莎).*,路易莎咖啡,50,連鎖飲食,烘焙點心,FALSE,,路易莎咖啡,
(?i).*(米哥烘焙坊).*,米哥烘焙坊,50,連鎖飲食,,FALSE,,,
.*(娛樂休閒服務).*,娛樂休閒服務,10,生活服務,文創娛樂,FALSE,,消費明細未準確適用時的分類,
.*(樂購蝦皮).*,樂購蝦皮,50,電子商務,,FALSE,,蝦皮金流服務,
(?i).*(MOMO.*EC).*,MOMO網購,50,電子商務,,FALSE,,MOMO網購平台,